paper_id,domain,title,year,abstract,human_core_claims_json,human_no_core_claim_reason,reviewer_id,reviewed_at,review_status
P0795,iTE,Seebeck Effect at the Atomic Scale,2014,"The atomic variations of electronic wave functions at the surface and electron scattering near a defect have been detected unprecedentedly by tracing thermoelectric voltages given a temperature bias [Cho et al., Nat. Mater. 12, 913 (2013)]. Because thermoelectricity, or the Seebeck effect, is associated with heat-induced electron diffusion, how the thermoelectric signal is related to the atomic-scale wave functions and what the role of the temperature is at such a length scale remain very unclear. Here we show that coherent electron and heat transport through a pointlike contact produces an atomic Seebeck effect, which is described by the mesoscopic Seebeck coefficient multiplied by an effective temperature drop at the interface. The mesoscopic Seebeck coefficient is approximately proportional to the logarithmic energy derivative of local density of states at the Fermi energy. We deduced that the effective temperature drop at the tip-sample junction could vary at a subangstrom scale depending on atom-to-atom interaction at the interface. A computer-based simulation method of thermoelectric images is proposed, and a point defect in graphene was identified by comparing experiment and the simulation of thermoelectric imaging.",,,,,pending_human
P0397,iTE,Specific behavior of transition metal chloride complexes for achieving giant ionic thermoelectric properties,2022,"When people are keen to exploring the thermoelectric properties of polymer composite inorganic electrolyte aqueous flexible electronic devices, the complicated chemical configuration of transition metal chloride anion has not been paid attention and reported. Here, we demonstrate a hydrated polyvinyl alcohol (PVA)-cellulosic membrane that relies on the thermal gradient diffusion of transition metal and chloride complexe [CuCl4](2-) enhanced by copper-coordinated carboxylated cellulose. The PVA-cellulosic membrane exhibits a thermopower of -26.25 mV center dot K-1, rendering it among the best n-type ionic thermoelectric materials under the same conditions. We attribute the enhanced thermally generated voltage to the highly-coordinated configuration of Cu2+ - Cl-, which converts the independent thermal motion of Cu2+ and Cl- to the higher ion transport heat of [CuCl4](2-) anion via carboxylated cellulose, while this phenomenon do not occur in the other transition metal chlorides. This specific heat transport behavior of [CuCl4](2-) has important implications in designing high-quality ionic thermoelectric materials.",,,,,pending_human
P1009,iTE,"Insight into the improved thermoelectric and optoelectronic performances of CsZnCl3-aYa (Y=C, N and a=0, 1) halide perovskite for UV absorber and energy applications",2024,"The perovskite halide materials namely CsZnCl3-aYa (Y=C, N and a = 0, 1) have been studied in the frame work of density functional theory (DFT). These materials are computed from the doping of Carbon (C) and Nitrogen (N) atoms in cubic nonmagnetic parent perovskite CsZnCl3 and have been tested on the ground of magnetism, electronic band gap henceforth the optoelectronic and thermoelectric performances. Interestingly, the doping turns out from semiconducting to spin semiconducting nature. Further, photon frequency dependent optical properties like dielectric function, absorption coefficient, refractive index, energy loss function, reflectivity etc. have been accounted. The considered materials are optically active and absorbance of photon energy is found in UV-region. The figure of merit for CsZnCl3 is calculated to be 0.79 and increases to almost 1.0 with the doping of C and N. This implies that mixed halide perovskites CsZnCl2C and CsZnCl2N, are superior materials for thermoelectric generators.",,,,,pending_human
P1671,iTE,"Thermal and electronic transport properties of ACrX2 superionic conductors (A=Cu, Ag and X=S, Se)",2025,"Superionic conductors, including ACrX2 (A=Ag, Cu; X = S, Se) compounds, have attracted attention due to their low lattice thermal conductivity and high ionic conductivity. These properties are driven by structural characteristics such as anharmonicity, soft bonding, and disorder, which enhance both fast ion transport and thermal resistance. In the present study, we investigate the impact of various factors (e.g. A-site disorder, microstructure, speed of sound and chemical composition) on the thermal conductivity of the compounds CuCrS2, CuCrSe2, AgCrS2 and AgCrSe2. The samples were synthesized using solid state reaction, ball milling and subsequent spark plasma sintering, and thermal diffusivity, electrical resistivity, Hall coefficients and Seebeck coefficients were measured as a function of temperature. The selenides were found to behave as degenerate semiconductors, with reasonable thermoelectric figure of merit (up to 0.79 in CuCrSe2), while the sulfides behaved as non-degenerate semiconductors with high electrical resistivity. At room temperature, all samples are in the ordered phase and show low lattice thermal conductivity ranging from 0.60 W m-1-K in AgCrSe2 to 1.1 W m-1-K in CuCrSe2. Little reduction in lattice thermal conductivity was observed in the high-temperature phase, despite the increased disorder on the cation site and the onset of superionic conductivity. This suggests that the low lattice thermal conductivity in ACrX2 compounds is an inherent property of the crystal structure, caused by anharmonic bonding and diffuson dominated transport.",,,,,pending_human
P1678,iTE,Ultra-low lattice thermal conductivity and giant phonon-electric field coupling in hafnium dichalcogenide monolayers,2020,"Phonons in crystalline solids are of utmost importance in governing its lattice thermal conductivity (k(L)). In this work, k(L) in hafnium (Hf) dichalcogenide monolayers has been investigated based on ab initio DFT coupled to linearized Boltzmann transport equation together with single-mode relaxation-time approximation. Ultra-low k(L) found in HfS2 (2.19 W m(-1) K-1), HfSe2 (1.23 W m(-1) K-1) and HfSSe (1.78 W m(-1) K-1) monolayers at 300 K, is comparable to that of the state-of-art bulk thermoelectric materials, such as, Bi2Te3 (1.6 W m(-1) K-1), PbTe (2.2 W m(-1) K-1) and SnSe (2.6 W m(-1) K-1). Gigantic longitudinal-transverse optical (LO-TO) splitting of up to 147.7 cm(-1) is noticed at the Brillouin zone-centre (Gamma-point), which is much higher than that in MoS2 single layer (similar to 2 cm(-1)). It is driven by the colossal phonon-electric field coupling arising from the domination of ionic character in the interatomic bonds and Born effective or dynamical charges as high as 7.4e on the Hf ions, which is seven times that on Mo in MoS2 single layer. Enhancement in k(L) occurs in HfS2 (2.19 to 4.1 W m(-1) K-1), HfSe2 (1.23 to 1.7 W m(-1) K-1) and HfSSe (1.78 to 2.2 W m(-1) K-1) upon the incorporation of the non-analytic correction term. Furthermore, the mode Gruneisen parameter is calculated to be as high as similar to 2.0, at room temperature, indicating a strong anharmonicity. Moreover, the contribution of optical phonons to k(L) is found to be similar to 12%, which is significantly high than that in single-layer MoS2. Large atomic mass of Hf (178.5 u), small phonon group velocities (4-5 km s(-1)), low Debye temperature (similar to 166 K), low bond and elastic stiffness (Young's modulus similar to 75 N m(-1)), small phonon lifetimes (similar to 6 ps), low specific heat capacity (similar to 17 J K-1 mol(-1)) and strong anharmonicity are collectively found to be the factors responsible for such a low k(L). These findings would be immensely helpful in designing thermoelectric interconnects at the nanoscale and 2D material-based energy harvesters.",,,,,pending_human
P0362,iTE,Selective tuning cation coordination variations for developing high-performance N-type solid-state ionic thermoelectric materials,2025,"With rising global energy consumption and heightened environmental awareness, ionic thermoelectric (i-TE) materials, offering millivolt-level thermopower at low cost, hold significant promise for harnessing low-grade thermal energy to boost energy efficiency. However, i-TE materials await significant enhancements in performance and stability, especially the scarcity of n-type variants and the unclear thermopower control mechanism limiting their practical application. This study introduces a novel strategy for manipulating ionic thermoelectric properties by selectively incorporating cations (X = Li+, Na+, Mg2+, Zn2+) and harnessing their distinct coordination abilities with the ether oxygen atoms in polyethylene oxide (PEO). Through precise control of cationanion diffusion coefficients and Eastman entropy changes, the high-performance n-type solid-state i-TE materials are obtained. The MD simulations reveal that divalent cations (Mg2+ and Zn2+) outperform monovalent cations (Li+ and Na+) in enhancing thermopower, exhibiting larger entropy changes and diffusivity differences at an X/EO ratio of 0.15. Furthermore, experimental results show that the thermopower of divalent composite of PEO/MgTFSI2 (-6.18 mV K- 1) is significantly higher than that of monovalent PEO/LiTFSI (-1.6 mV K- 1). These findings align well with the simulation results, validating the effectiveness of cation coordination tuning in modulating thermoelectric properties, offering a promising route for designing PEO-based n-type solid-state i-TE materials.",,,,,pending_human
P1123,iTE,"Insights into structural, electronic, optical and thermoelectric properties of WB and WAlB: a first principle study",2018,"Detailed investigations on structural, electronic, optical and thermoelectric properties of WB and WAlB have been done by using a full-potential linearised augmented plane wave method. Different approximations have been used to treat the exchange-correlation potential. The PBEsol-GGA method is found to be the most suitable for WB and WAlB. The obtained values of the equilibrium structural parameters such as lattice constants, volume and bulk modulus are in good agreement with the available experimental and theoretical data. The results of electronic charge density plots show that WB has a strong covalent bond between B-B and an ionic bond between W-B. In case of WAlB, the distance between any two atoms is more than the corresponding interatomic distance in WB. The band structure and density of states around the fermi level suggest that WB has a metallic nature and WAlB has a semimetal-like character. The optical properties are determined and analysed in detail for the first time. The larger reflectivity in the low-energy region (infrared) indicates that these materials can be used as a coating material to remove solar heating. The effects of temperature on thermoelectric parameters are also studied for the first time. High value power factor and high thermal conductivity suggest that WB and WAlB are potential candidates for thermoelectric technological applications.",,,,,pending_human
P1282,iTE,Impact of intrinsic localized modes of atomic motion on materials properties,2010,"Recent neutron and X-ray scattering measurements show intrinsic localized modes (ILMs) in metallic uranium and ionic sodium iodide Here, the role ILMs play in the behavior of these materials is examined With the thermal activation of ILMs, thermal expansion is enhanced, made more anisotropic, and, at a microscopic level, becomes inhomogeneous Interstitial diffusion, ionic conductivity, the annealing rate of radiation damage, and void growth are all influenced by ILMs The lattice thermal conductivity is suppressed at the ILM activation temperature, while no impact is observed in the electrical conductivity. This complement of transport properties suggests that ILMs could improve thermoelectric performance Ramifications also include thermal ratcheting, a transition from brittle to ductile fracture, and possibly a phase transformation in uranium (C) 2010 Acta Materialia Inc Published by Elsevier Ltd. All rights reserved",,,,,pending_human
P1039,iTE,"High-Temperature Structural and Thermoelectric Study,of Argyrodite Ag8GeSe6",2019,"Argyrodites with a general chemical formula of A(8)BX(6) (A = Cu, Ag; B = Si, Ge, Sn; and X = S, Se, and Te) are known for the intimate interplay among mobile ions, electrons, and phonons, which yields rich material physics and materials chemistry phenomena. In particular, the coexistence of fast ionic conduction and promising thermoelectric performance in Ag8GeTe6, Ag8SnSe6, Ag8SiTe6, Ag8SiSe6, and Cu8GeSe6 at high temperatures ushered us to their chemical neighbor Ag8GeSe6, whose high-temperature crystal structure and thermoelectric properties are not yet reported. In this work, we have employed a growth-from-the-melt technique followed by hot pressing to prepare polycrystalline Ag8GeSe6 samples, on which the crystal structure, micro-morphology, compositional analysis, UV vis absorption, specific heat, speed of sound, and thermoelectric properties were characterized as a function of the Se-deficiency ratio and temperature. We found that (i) the crystal structure of Ag8GeSe6 evolved from orthorhombic at room temperature to face center cubic above 410 K, with a region of phase separations in between; (ii) like other argyrodite 816 phases, Ag8GeSe6 exhibited ultralow thermal conductivities over a wide temperature range as the phonon mean free path was down to the order of interatomic spacing; and (iii) varying Se deficiency effectively optimized the carrier concentration and power factor, a figure of merit zT value similar to 0.55 was achieved at 923 K in Ag8GeSe5.88. These results not only fill a knowledge gap of Ag8GeSe6 but also contribute to a comprehensive understanding of 816 phase argyrodites at large.",,,,,pending_human
P0824,iTE,"Multiple-valley effect on modulation of thermoelectric properties of n-type ZrCuSiAs-structure oxyantimonides LnTSbO (Ln= lanthanides and T=Zn, Mn)",2019,"Thermoelectric properties of n-type LnTSbO (Ln = lanthanides and T = Zn, Mn) were firstly investigated by the first-principles method and the semi-classical Boltzmann theory. The results show that a multiple-valley structure appears around the bottom of conduction band. The valley with a high band degeneracy consists of the bands with a weak band dispersion, leading to large magnitudes of the Seebeck coefficient but low electrical conductivity. The valley with a low band degeneracy is made up of the bands with an intense band dispersion, resulting in a high electrical conductivity but small magnitudes of the Seebeck coefficient. The thermoelectric properties are dominated by the energy difference, Delta E, between the valleys. The Delta E value of LnZnSbO linearly increases with the ionic radius of Ln. The thermoelectric properties are thus effectively modulated by varying the lanthanides. As a result, LnZnSbO (Ln = Ce-Nd) with the moderate values of Delta E shows a better thermoelectric performance. The multiple-valley effect is an effective way to modulate the thermoelectric properties of n-type LnTSbO. (c) 2018 The Chinese Ceramic Society. Production and hosting by Elsevier B.V.",,,,,pending_human
