literal_group_id,domain,retrieval_key,mention_count,label_variant_count,paper_support,decision_status
iTE:literal:1e2998e8d654c4,iTE,band gap,3,2,3,candidate_only_context_review_required
iTE:literal:ffb1331947ff78,iTE,cr doping,2,1,2,candidate_only_context_review_required
iTE:literal:e4d5aa23c027ed,iTE,cu migration,2,1,2,candidate_only_context_review_required
iTE:literal:bc2e8cb08b0d5c,iTE,eastman entropy change,2,1,2,candidate_only_context_review_required
iTE:literal:3ca65ab2ad7ece,iTE,electrical conductivity,43,2,43,candidate_only_context_review_required
iTE:literal:d3c1bd9f50b299,iTE,frenkel defect,2,1,2,candidate_only_context_review_required
iTE:literal:a0fb903525dc10,iTE,il,2,1,2,candidate_only_context_review_required
iTE:literal:8e3e571b623b3f,iTE,ils,3,1,3,candidate_only_context_review_required
iTE:literal:44d61416e1e3e7,iTE,iteg,2,2,2,candidate_only_context_review_required
iTE:literal:b8ddfb05a820b7,iTE,low thermal conductivities,2,2,2,candidate_only_context_review_required
iTE:literal:5ec291abdd1e73,iTE,pf,2,1,2,candidate_only_context_review_required
iTE:literal:2003f91adf1108,iTE,paddle wheel mechanism,2,2,2,candidate_only_context_review_required
iTE:literal:18fb84a7bc2eb5,iTE,poisson ratio,2,1,2,candidate_only_context_review_required
iTE:literal:b667446e6eb255,iTE,pressure,3,2,3,candidate_only_context_review_required
iTE:literal:043a718774c572,iTE,s,2,1,2,candidate_only_context_review_required
iTE:literal:84722d009d9fb7,iTE,seebeck coefficient,58,1,58,candidate_only_context_review_required
iTE:literal:fee5b963b5d933,iTE,seebeck coefficient (s),3,1,3,candidate_only_context_review_required
iTE:literal:d730090df7a5a3,iTE,seebeck coefficient and electrical conductivity,2,1,2,candidate_only_context_review_required
iTE:literal:2dab25a3270cb8,iTE,seebeck coefficients,8,1,8,candidate_only_context_review_required
iTE:literal:fe2b80d315da97,iTE,seebeck effect,2,1,2,candidate_only_context_review_required
iTE:literal:83799d7308fc95,iTE,soret effect,6,1,6,candidate_only_context_review_required
iTE:literal:742ab704535cec,iTE,soret effect of the ions,4,1,4,candidate_only_context_review_required
iTE:literal:5797cadd9eb3e7,iTE,te performance,2,1,2,candidate_only_context_review_required
iTE:literal:1c0fc276ef8407,iTE,te properties,2,1,2,candidate_only_context_review_required
iTE:literal:c278a24343d78f,iTE,thermal conductivity,22,2,22,candidate_only_context_review_required
iTE:literal:055861b7663c07,iTE,thermoelectric performance,16,2,16,candidate_only_context_review_required
iTE:literal:6191b5381aad91,iTE,thermopower,21,2,21,candidate_only_context_review_required
iTE:literal:281ec7f5d60c94,iTE,ultralow kappa(l),2,2,2,candidate_only_context_review_required
iTE:literal:43b2fb063343d3,iTE,zt,3,1,3,candidate_only_context_review_required
iTE:literal:fc4b5a0896f1df,iTE,activation energies,4,1,4,candidate_only_context_review_required
iTE:literal:bbfda222f52669,iTE,activation energy,2,1,2,candidate_only_context_review_required
iTE:literal:5b90558ee88876,iTE,addition of cucl,2,1,2,candidate_only_context_review_required
iTE:literal:8ed3f6ad685b95,iTE,alpha,2,1,2,candidate_only_context_review_required
iTE:literal:a8070ed6b621d0,iTE,anharmonicity,2,1,2,candidate_only_context_review_required
iTE:literal:1a4122951dd4d9,iTE,anion diffusion,2,1,2,candidate_only_context_review_required
iTE:literal:0d4b1ccd3e7f77,iTE,bipolar transport,2,1,2,candidate_only_context_review_required
iTE:literal:46d6f7ea159c95,iTE,bulk modulus,2,1,2,candidate_only_context_review_required
iTE:literal:b10e99f565405f,iTE,carrier concentration,10,1,10,candidate_only_context_review_required
iTE:literal:3312060884f30a,iTE,carrier density,2,1,2,candidate_only_context_review_required
iTE:literal:55266623a8627f,iTE,carrier mobility,4,1,4,candidate_only_context_review_required
iTE:literal:77b9e8342212e4,iTE,cation exchange,2,1,2,candidate_only_context_review_required
iTE:literal:22be471d7c391c,iTE,cell volume,2,1,2,candidate_only_context_review_required
iTE:literal:6aecfe017f0c1e,iTE,charge carrier concentration,3,1,3,candidate_only_context_review_required
iTE:literal:e4180bb9ca9770,iTE,complexation,2,1,2,candidate_only_context_review_required
iTE:literal:3fe6fcca82d666,iTE,conductivity,10,1,10,candidate_only_context_review_required
iTE:literal:279a9ec28fdf84,iTE,cooling performance,2,1,2,candidate_only_context_review_required
iTE:literal:a400a9f5286a49,iTE,covalent bonding,2,1,2,candidate_only_context_review_required
iTE:literal:44789a674ea0e1,iTE,covalent character,2,1,2,candidate_only_context_review_required
iTE:literal:5ea9a02e198ee5,iTE,crystallinity,3,1,3,candidate_only_context_review_required
iTE:literal:d797a2c44b3f2d,iTE,dc conductivity,3,1,3,candidate_only_context_review_required
iTE:literal:4759ad611394a4,iTE,decrease in carrier concentration,2,1,2,candidate_only_context_review_required
iTE:literal:a0e05d8f4a5178,iTE,direct band gaps,2,1,2,candidate_only_context_review_required
iTE:literal:4dbaa586691a70,iTE,disorder,2,1,2,candidate_only_context_review_required
iTE:literal:7c02451c5171d7,iTE,doping level,2,1,2,candidate_only_context_review_required
iTE:literal:5866fa74a25d2d,iTE,doping of c and n,2,1,2,candidate_only_context_review_required
iTE:literal:1d19f4967106e5,iTE,electric field,3,1,3,candidate_only_context_review_required
iTE:literal:5f496480a3127e,iTE,electrical and thermal conductivities,3,1,3,candidate_only_context_review_required
iTE:literal:b4769b937ca7cc,iTE,electrical conductivities,3,1,3,candidate_only_context_review_required
iTE:literal:c1d2ccf6d59cc6,iTE,electrical conductivity and thermal conductivity,2,1,2,candidate_only_context_review_required
iTE:literal:8b9c96d213c335,iTE,electrical resistivity,2,1,2,candidate_only_context_review_required
iTE:literal:b73ef977ad8b33,iTE,electron localization,2,1,2,candidate_only_context_review_required
