literal_group_id,mention_id
iTE:literal:1e2998e8d654c4,iTE:P0649:n2
iTE:literal:1e2998e8d654c4,iTE:P1193:n2
iTE:literal:1e2998e8d654c4,iTE:P1761:n2
iTE:literal:ffb1331947ff78,iTE:P1004:n1
iTE:literal:ffb1331947ff78,iTE:P1132:n1
iTE:literal:e4d5aa23c027ed,iTE:P0865:n2
iTE:literal:e4d5aa23c027ed,iTE:P1236:n2
iTE:literal:bc2e8cb08b0d5c,iTE:P0464:n4
iTE:literal:bc2e8cb08b0d5c,iTE:P0537:n4
iTE:literal:3ca65ab2ad7ece,iTE:P0636:n2
iTE:literal:3ca65ab2ad7ece,iTE:P0718:n2
iTE:literal:3ca65ab2ad7ece,iTE:P0409:n4
iTE:literal:3ca65ab2ad7ece,iTE:P0414:n2
iTE:literal:3ca65ab2ad7ece,iTE:P0471:n3
iTE:literal:3ca65ab2ad7ece,iTE:P0533:n2
iTE:literal:3ca65ab2ad7ece,iTE:P0539:n2
iTE:literal:3ca65ab2ad7ece,iTE:P0615:n4
iTE:literal:3ca65ab2ad7ece,iTE:P0618:n3
iTE:literal:3ca65ab2ad7ece,iTE:P0651:n2
iTE:literal:3ca65ab2ad7ece,iTE:P0753:n3
iTE:literal:3ca65ab2ad7ece,iTE:P0824:n3
iTE:literal:3ca65ab2ad7ece,iTE:P0899:n2
iTE:literal:3ca65ab2ad7ece,iTE:P0943:n2
iTE:literal:3ca65ab2ad7ece,iTE:P0959:n2
iTE:literal:3ca65ab2ad7ece,iTE:P0994:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1048:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1050:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1060:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1071:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1146:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1148:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1223:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1430:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1435:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1449:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1459:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1482:n4
iTE:literal:3ca65ab2ad7ece,iTE:P1491:n3
iTE:literal:3ca65ab2ad7ece,iTE:P1492:n3
iTE:literal:3ca65ab2ad7ece,iTE:P1496:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1500:n4
iTE:literal:3ca65ab2ad7ece,iTE:P1508:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1519:n3
iTE:literal:3ca65ab2ad7ece,iTE:P1539:n4
iTE:literal:3ca65ab2ad7ece,iTE:P1574:n1
iTE:literal:3ca65ab2ad7ece,iTE:P1613:n3
iTE:literal:3ca65ab2ad7ece,iTE:P1635:n3
iTE:literal:3ca65ab2ad7ece,iTE:P1639:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1657:n3
iTE:literal:3ca65ab2ad7ece,iTE:P1670:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1754:n2
iTE:literal:3ca65ab2ad7ece,iTE:P1827:n2
iTE:literal:d3c1bd9f50b299,iTE:P0850:n3
iTE:literal:d3c1bd9f50b299,iTE:P1429:n1
iTE:literal:a0fb903525dc10,iTE:P0384:n1
iTE:literal:a0fb903525dc10,iTE:P1666:n1
iTE:literal:8e3e571b623b3f,iTE:P0409:n2
iTE:literal:8e3e571b623b3f,iTE:P0688:n1
iTE:literal:8e3e571b623b3f,iTE:P1482:n1
iTE:literal:44d61416e1e3e7,iTE:P0613:n1
iTE:literal:44d61416e1e3e7,iTE:P0849:n1
iTE:literal:b8ddfb05a820b7,iTE:P1749:n2
iTE:literal:b8ddfb05a820b7,iTE:P0998:n2
iTE:literal:5ec291abdd1e73,iTE:P0484:n3
iTE:literal:5ec291abdd1e73,iTE:P0976:n2
iTE:literal:2003f91adf1108,iTE:P0850:n1
iTE:literal:2003f91adf1108,iTE:P0844:n1
iTE:literal:18fb84a7bc2eb5,iTE:P1458:n1
iTE:literal:18fb84a7bc2eb5,iTE:P1699:n1
iTE:literal:b667446e6eb255,iTE:P1587:n1
iTE:literal:b667446e6eb255,iTE:P1125:n1
iTE:literal:b667446e6eb255,iTE:P1140:n1
iTE:literal:043a718774c572,iTE:P0921:n3
iTE:literal:043a718774c572,iTE:P1412:n2
iTE:literal:84722d009d9fb7,iTE:P0344:n4
iTE:literal:84722d009d9fb7,iTE:P0345:n3
iTE:literal:84722d009d9fb7,iTE:P0352:n3
iTE:literal:84722d009d9fb7,iTE:P0379:n3
iTE:literal:84722d009d9fb7,iTE:P0385:n3
iTE:literal:84722d009d9fb7,iTE:P0406:n3
iTE:literal:84722d009d9fb7,iTE:P0414:n3
iTE:literal:84722d009d9fb7,iTE:P0446:n2
iTE:literal:84722d009d9fb7,iTE:P0454:n3
iTE:literal:84722d009d9fb7,iTE:P0462:n3
iTE:literal:84722d009d9fb7,iTE:P0498:n2
