candidate_id,domain,left_unit_id,right_unit_id,left_label,right_label,left_paper_support,right_paper_support,candidate_channels,char_ngram_cosine,structural_jaccard,literal_key_equal,decision_status,concept_relation,human_reason
pair:69654de08546556a,TG,TG:retrieval:98b27b3827211d,TG:retrieval:cd8fe087b4d436,Mass transport,mass transport,1,1,case_whitespace_literal;char_ngram_tfidf,1.0,0.0,True,unreviewed_candidate,,
pair:d3bd1ceec37f5f60,TG,TG:retrieval:3e8adfa3262a4a,TG:retrieval:d8a1fc176f4911,Natural convection,natural convection,1,3,case_whitespace_literal;char_ngram_tfidf,1.0,0.0,True,unreviewed_candidate,,
pair:200068bba9c8dfde,TG,TG:retrieval:0c59b2b51a5322,TG:retrieval:ae544b7af8b85b,electrophoretic charge number of colloidal particles,diffusion coefficient,1,1,legacy_role_neighborhood,0.0,1.0,False,unreviewed_candidate,,
pair:92f4c7e8dfb6b9f9,TG,TG:retrieval:3fa601ebf73b97,TG:retrieval:4e8867fb60ae0e,interaction of redox ions and surrounding solvation,degrade the complexes of Fe(H2O)5Cl(2)(+),1,1,legacy_role_neighborhood,0.0,1.0,False,unreviewed_candidate,,
pair:a57f24b8170e5695,TG,TG:retrieval:35fb9aa7cd49c0,TG:retrieval:ae544b7af8b85b,Eastman entropy of transfer,diffusion coefficient,1,1,legacy_role_neighborhood,0.0,1.0,False,unreviewed_candidate,,
pair:b40445f8bbd8a8fe,TG,TG:retrieval:0c59b2b51a5322,TG:retrieval:35fb9aa7cd49c0,electrophoretic charge number of colloidal particles,Eastman entropy of transfer,1,1,legacy_role_neighborhood,0.0,1.0,False,unreviewed_candidate,,
pair:d44b39e02d20cfa4,TG,TG:retrieval:47c4d9f6e5c056,TG:retrieval:ecc4993a90f0df,high temperatures,addition of NaClO4 instead of Fe(ClO4)2/Fe(ClO4)3,1,1,legacy_role_neighborhood,0.0,1.0,False,unreviewed_candidate,,
pair:b15939ef9ba05682,TG,TG:retrieval:0f7abdcda94d4a,TG:retrieval:9ca52161c3162c,apparent Seebeck coefficients,apparent Seebeck coefficient,1,1,char_ngram_tfidf,0.955185,0.0,False,unreviewed_candidate,,
pair:d58ba3d8ea1244d6,TG,TG:retrieval:09fd1f02ad5e1d,TG:retrieval:b99fead199ac03,Seebeck coefficient,Seebeck coefficients,19,2,char_ngram_tfidf,0.926108,0.0,False,unreviewed_candidate,,
pair:0ddd385bd6571722,TG,TG:retrieval:40e173170fd21a,TG:retrieval:83439458749bd8,temperature gradient,Temperature gradients,4,1,char_ngram_tfidf,0.917087,0.0,False,unreviewed_candidate,,
