retrieval_unit_id,mention_id,paper_id,domain
TG:retrieval:dc858548d53404,TG:P0308:n1,P0308,TG
TG:retrieval:9b752cb92bf80c,TG:P0099:n1,P0099,TG
TG:retrieval:c45d9221ee2673,TG:P0030:n1,P0030,TG
TG:retrieval:652adb9e19b7aa,TG:P0118:n3,P0118,TG
TG:retrieval:95cb6cf658b238,TG:P0169:n1,P0169,TG
TG:retrieval:87ae79414b5845,TG:P0284:n2,P0284,TG
TG:retrieval:7dbfe02a9d38aa,TG:P0117:n1,P0117,TG
TG:retrieval:84810bfea2375d,TG:P0034:n1,P0034,TG
TG:retrieval:62936a2fd7bab3,TG:P0250:n1,P0250,TG
TG:retrieval:d08ce48c58e7ed,TG:P0094:n1,P0094,TG
TG:retrieval:73a4d676442058,TG:P0139:n4,P0139,TG
TG:retrieval:e21217e2e9d557,TG:P0042:n1,P0042,TG
TG:retrieval:bb50673407d07b,TG:P0214:n1,P0214,TG
TG:retrieval:e30f2b02b4b899,TG:P0116:n3,P0116,TG
TG:retrieval:ed836b3401f401,TG:P0284:n1,P0284,TG
TG:retrieval:5883b3ea854c33,TG:P0144:n1,P0144,TG
TG:retrieval:d9c686f738d715,TG:P0264:n1,P0264,TG
TG:retrieval:62537d81bd60b5,TG:P0029:n2,P0029,TG
TG:retrieval:9b40f8fb5a372d,TG:P0057:n1,P0057,TG
TG:retrieval:b0510d7c393bf0,TG:P0086:n4,P0086,TG
TG:retrieval:b0510d7c393bf0,TG:P0202:n3,P0202,TG
TG:retrieval:fb25a7b4dd722b,TG:P0232:n2,P0232,TG
TG:retrieval:29fc5deef180ae,TG:P0166:n1,P0166,TG
TG:retrieval:35fb9aa7cd49c0,TG:P0224:n3,P0224,TG
TG:retrieval:d8871590c191cd,TG:P0026:n2,P0026,TG
TG:retrieval:a0f949497a74dd,TG:P0031:n1,P0031,TG
TG:retrieval:f8d252e9ff931a,TG:P0313:n1,P0313,TG
TG:retrieval:f657b103bf0e0a,TG:P0055:n1,P0055,TG
TG:retrieval:8cea1ff37566a7,TG:P0137:n1,P0137,TG
TG:retrieval:692487c5c4a664,TG:P0109:n1,P0109,TG
TG:retrieval:3fc0a94a421de7,TG:P0260:n2,P0260,TG
TG:retrieval:01ac579de05493,TG:P0003:n3,P0003,TG
TG:retrieval:b087c34312609c,TG:P0103:n1,P0103,TG
TG:retrieval:d0073d658a0495,TG:P0043:n1,P0043,TG
TG:retrieval:889aaf7268b059,TG:P0139:n6,P0139,TG
TG:retrieval:ca34ab5c748c66,TG:P0035:n1,P0035,TG
TG:retrieval:f1e245403d0c6b,TG:P0248:n1,P0248,TG
TG:retrieval:168fec35fd7249,TG:P0271:n1,P0271,TG
TG:retrieval:98b27b3827211d,TG:P0127:n5,P0127,TG
TG:retrieval:8f1c3db4f85179,TG:P0328:n1,P0328,TG
TG:retrieval:1d988304fe4c02,TG:P0234:n1,P0234,TG
TG:retrieval:1f76069489c779,TG:P0234:n2,P0234,TG
TG:retrieval:0725a8c7012741,TG:P0219:n1,P0219,TG
TG:retrieval:3e8adfa3262a4a,TG:P0303:n1,P0303,TG
TG:retrieval:0b3054f6d871ed,TG:P0046:n1,P0046,TG
TG:retrieval:e9c93316217578,TG:P0312:n1,P0312,TG
TG:retrieval:be48f57d9b5961,TG:P0046:n2,P0046,TG
TG:retrieval:5d9032cf637c12,TG:P0051:n1,P0051,TG
