retrieval_unit_id,domain,label,mention_count,paper_support,representative_mention_ids,unit_status
TG:retrieval:dc858548d53404,TG,0.5 M iron triflate in DMF,1,1,TG:P0308:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:9b752cb92bf80c,TG,0.7 M CuSO4 + 0.2 M H2SO4 electrolyte,1,1,TG:P0099:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:c45d9221ee2673,TG,18-crown-6,1,1,TG:P0030:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:652adb9e19b7aa,TG,30 degrees C critical point,1,1,TG:P0118:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:95cb6cf658b238,TG,3D hierarchical structure electrode,1,1,TG:P0169:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:87ae79414b5845,TG,3D multi-structured electrodes,1,1,TG:P0284:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:7dbfe02a9d38aa,TG,5 wt% organic semiconductor orange dye aqueous solution,1,1,TG:P0117:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:84810bfea2375d,TG,AP,1,1,TG:P0034:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:62936a2fd7bab3,TG,Acetonitrile,1,1,TG:P0250:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:d08ce48c58e7ed,TG,Addition of CsCl,1,1,TG:P0094:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:73a4d676442058,TG,Arrhenius acid,1,1,TG:P0139:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:e21217e2e9d557,TG,Au nanoparticles (AuNPs)@SiO2-PDMS composite film,1,1,TG:P0042:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:bb50673407d07b,TG,CoHCF/HCNTs,1,1,TG:P0214:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:e30f2b02b4b899,TG,Concentration difference,1,1,TG:P0116:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:ed836b3401f401,TG,Cu-based thermosensitive crystallization,1,1,TG:P0284:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:5883b3ea854c33,TG,CuCl2 concentrations increase,1,1,TG:P0144:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:d9c686f738d715,TG,DES,1,1,TG:P0264:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:62537d81bd60b5,TG,DFT-derived ion-solvent interaction features,1,1,TG:P0029:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:9b40f8fb5a372d,TG,DMSO/water binary solvent,1,1,TG:P0057:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:b0510d7c393bf0,TG,Delta T,2,2,TG:P0086:n4;TG:P0202:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:fb25a7b4dd722b,TG,Dufour energy flux density,1,1,TG:P0232:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:29fc5deef180ae,TG,EG,1,1,TG:P0166:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:35fb9aa7cd49c0,TG,Eastman entropy of transfer,1,1,TG:P0224:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:d8871590c191cd,TG,Fe3+ concentration,1,1,TG:P0026:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:a0f949497a74dd,TG,GO,1,1,TG:P0031:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:f8d252e9ff931a,TG,GaSe clathrate of 4-fold expansion,1,1,TG:P0313:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:f657b103bf0e0a,TG,Gelation,1,1,TG:P0055:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:8cea1ff37566a7,TG,Grafting guanidinium salt ions,1,1,TG:P0137:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:692487c5c4a664,TG,H-2/H+ redox reaction,1,1,TG:P0109:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:3fc0a94a421de7,TG,Hofmeister effect,1,1,TG:P0260:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:01ac579de05493,TG,ISC value increase,1,1,TG:P0003:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:b087c34312609c,TG,ISV and 3-electrode assemblies,1,1,TG:P0103:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:d0073d658a0495,TG,KCl,1,1,TG:P0043:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:889aaf7268b059,TG,Liquid metal electrodes,1,1,TG:P0139:n6,retrieval_group_only_no_semantic_merge
TG:retrieval:ca34ab5c748c66,TG,MC,1,1,TG:P0035:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:f1e245403d0c6b,TG,MEMSA hydroxide and guanidine hydrochloride,1,1,TG:P0248:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:168fec35fd7249,TG,MMA content,1,1,TG:P0271:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:98b27b3827211d,TG,Mass transport,1,1,TG:P0127:n5,retrieval_group_only_no_semantic_merge
TG:retrieval:8f1c3db4f85179,TG,Maxsorb electrodes,1,1,TG:P0328:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:1d988304fe4c02,TG,N-2 gas,1,1,TG:P0234:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:1f76069489c779,TG,N3(-) ion,1,1,TG:P0234:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:0725a8c7012741,TG,Nanomaterial-enhanced carbon cloth electrodes,1,1,TG:P0219:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:3e8adfa3262a4a,TG,Natural convection,1,1,TG:P0303:n1,retrieval_group_only_no_semantic_merge
