paper_id,domain,title,journal,doi,year,source_membership,coverage_status,txt_record_present,txt_header_line,node_count,relation_count,claim_id,abstract,abstract_sha256,corpus_path,corpus_csv_row,source_record_ids,limitation_note,reconstruction_run_id,selection_basis
P0003,TG,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.161288,2025,iTE|TG,extracted_core_claim,True,320,3,2,TG:P0003:claim_block,"Ionic thermoelectric generators (i-TEGs), capable of generating several tens of millivolts per Kelvin, have emerged as a promising technology for powering mu W or mW-level electric devices by recovering low-grade heat energy. However, the development of n-type i-TE materials still fall behind. In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple. It's found that the thermopower generated by the hydrogels show a significant dependence on Fe2+/3+ concentration due to the complexation interaction between Fe2+/3+and Cl- species. On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device. Consequently, the device based on gel Gel-Fe24 exhibits a balanced and high VOC and ISC, delivering a maximum Pmax/(Delta T)2 of 2.78 mW m-2 K-2 at Delta T = 10 K. In i-TE generator mode, the i-TEG with gel Gel-Fe24 can output a maximum energy density of 456J m-2 within the 1-hour discharging, and exhibit relatively good cyclic stability. A thermoelectric module consisting of seven thermoelectric cells in series was demonstrated to output a thermovoltage of -2.75 V and an instantaneous power of 0.278 mW, capable of continuously powering low-power electronic devices. This study illustrates the impact of Fe2+/3+ concentration on the thermopower and output performance of the i-TEG, providing an optimization route for the preparation of high-performance n-type ionic thermoelectric devices.",68c3ab04abb50aa0e22b2f6c473e6740895c3626a742cb197f76600e6a6cf558,cleaned_ite_tg/data/tg_clean.csv,2,iTE1_0004; TG_0002,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 电子转移电阻降低不等于离子导电率增加，不能合并。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
P0141,TG,Ionic thermoelectric materials: Innovations and challenges,MATERIALS TODAY PHYSICS,10.1016/j.mtphys.2024.101375,2024,iTE|TG,extracted_core_claim,True,360,2,1,TG:P0141:claim_block,"As innovative energy materials, ionic thermoelectric materials (i-TEs) possess a distinctive combination of a high Seebeck coefficient and low thermal conductivity. This unique feature positions them as ideal candidates for efficiently harvesting low-grade heat. This review categorizes i-TEs into thermally diffusive type and thermogalvanic type, with a focus on the former due to its higher Seebeck coefficient. Notably, quasi-solid state materials within this category are explored in the most detailed way for their safety, flexibility, and versatile polymer network design. Strategies to enhance i -TE performance, such as improving the Seebeck coefficient, electrical conductivity, and reducing thermal conductivity, are discussed. Within this context, the proposal of hybridizing electron-type and ion-type materials emerges as an innovative approach aimed at enhancing performance. The future prospects underscore the critical necessity for challenge of establishing a systematic theoretical framework for i-TEs and emphasize the potential of electrode-electrolyte interactions in improving device performance to tackle the challenge of low energy density in diverse applications. In essence, i-TEs play a pivotal role in the effective harvesting of waste heat, making significant contributions to global sustainability and facilitating progress in green energy practices.",8d8c3222bffa5420b36a37b21c003d724072fc66ecb042f9cf397869a987c53c,cleaned_ite_tg/data/tg_clean.csv,5,iTE1_0022; TG_0140,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 综述中的提议，非本篇实测机制；performance 未明确指标，不强填 Seebeck。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
P0142,TG,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,ADVANCED SCIENCE,10.1002/advs.202509400,2025,iTE|TG,extracted_core_claim,True,432,3,1,TG:P0142:claim_block,"The development of ionic liquid gels (IL gels) with both high thermoelectric performance and mechanical flexibility is essential for advancing low-grade heat energy harvesting in next-generation flexible electronics and self-powered systems. Herein, a poly(methacrylic acid) (PMAA)-based IL gel is reported, fabricated via a solvent replacement strategy. By tailoring the synergistic coordination between Fe2+/Fe3+ redox couples and carboxyl (& horbar;COOH) groups in the polymer network, the gel functions as a thermogalvanic electrolyte, and its voltage generation is driven by temperature-dependent redox reactions of Fe2+/Fe3+. The resulting gel demonstrates excellent thermoelectric stability over a broad temperature range, achieving a high ionic conductivity (sigma) of 13.45 Sm-1 and the Seebeck coefficient (Si) of -4.67 mVK-1. In situ Raman spectroscopy and low-field solid-state nuclear magnetic resonance (NMR) analysis reveal the directional migration behavior of Fe2+/Fe3+ ions under a thermal gradient and their dynamic coupling with polymer chain motion. Furthermore, a self-powered Morse-code communication system is developed using a machine learning (ML)-assisted framework. A logistic regression model achieved 100% accuracy on an independent test set, indicating a strict monotonic mapping between voltage signals and encoded characters. This work provides new insights into the molecular design and thermoelectric regulation mechanisms of flexible thermoelectric gel, paving the way for their practical application in wearable self-powered communication devices.",0cfdaaf0c823ec6857979b8b5206d4f97b99b559c3a3f12edb8caaa5f9011893,cleaned_ite_tg/data/tg_clean.csv,11,iTE1_0077; TG_0141,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. coordination 与反应熵变化之间没有明确证据，不补边。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
P0143,TG,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,NANO ENERGY,10.1016/j.nanoen.2025.111156,2025,iTE|TG,extracted_core_claim,True,333,2,1,TG:P0143:claim_block,"As the human body's most vital environmental interface, the skin integrates diverse sensory receptors enabling simultaneous perception of multiple stimuli through multisensory processing. However, the realization of multifunctional sensing system on robots or prosthetics remains a huge challenge. Here we report a multifunctional tactile sensor fabricated from ionic thermoelectric gelatin that achieves simultaneous pressure and temperature detection. The thermoelectric effect of this ionic thermoelectric gelatin is mainly achieved through the synergy of the thermodiffusion effects and the thermogalvanic effect of ions. In addition, by applying pressure, the thermoelectric effect of this ionic thermoelectric gelatin can be changed (the thermopower of the ionic thermoelectric gelatin increases from 1.21 mV/K to 1.67 mV/K, representing a 38 % increase), so as to enable the sensor to sense external forces. By comparing the thermoelectric effect driven by temperature difference and the thermoelectric effect driven by pressure-temperature difference, there is a difference in the voltage response time. This allows for the decoupling of signals at the backend with only a simple algorithm. Using this sensor, we achieved a 95.31 % accuracy rate in identifying different materials. The multifunctional tactile sensor can promote the development of robots and better assist the disabled in restoring their sensory abilities.",642f3226fa6333b56c5f54ed76302b80d45a60c052a088f3b7441d9cb22b3f40,cleaned_ite_tg/data/tg_clean.csv,3,iTE1_0012; TG_0142,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 压力增效有报道，但压力怎样改变微观机制未在此摘要说明。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
P0145,TG,Giant thermopower of ionic gelatin near room temperature,SCIENCE,10.1126/science.aaz5045,2020,iTE|TG,extracted_core_claim,True,536,3,2,TG:P0145:claim_block,"Harvesting heat from the environment into electricity has the potential to power Internet-of-things (IoT) sensors, freeing them from cables or batteries and thus making them especially useful for wearable devices. We demonstrate a giant positive thermopower of 17.0 millivolts per degree Kelvin in a flexible, quasi-solid-state, ionic thermoelectric material using synergistic thermodiffusion and thermogalvanic effects. The ionic thermoelectric material is a gelatin matrix modulated with ion providers (KCl, NaCl, and KNO3) for thermodiffusion effect and a redox couple [Fe(CN)(6)(4-)/Fe(CN)(6)(3-)] for thermogalvanic effect. A proof-of-concept wearable device consisting of 25 unipolar elements generated more than 2 volts and a peak power of 5 microwatts using body heat. This ionic gelatin shows promise for environmental heat-to-electric energy conversion using ions as energy carriers.",9e83ac4745e3a74996ce7e92859a4fdbea9005fbc991b8aa4ea18de729228aa4,cleaned_ite_tg/data/tg_clean.csv,19,iTE1_0232; TG_0144,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 两种机制协同，不推定各自占比。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
P0146,TG,Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202511293,2025,iTE|TG,extracted_core_claim,True,344,5,3,TG:P0146:claim_block,"Gel thermocell can directly convert heat into electricity by ions as energy carriers, capable of low-grade heat harvesting. However, ionic thermoelectric performance, including ionic thermopower, output power density, and energy density, needs to be significantly improved to meet practical applications. To date, it still lacks an effective strategy to focus on gels to achieve the overall high performance. Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance. The CHEG thermocell using the synergy of thermogalvanic and thermodiffusion effects showed a total ionic thermopower of 41 mV K-1 with 2.3 mV K-1 for the former, and delivered a maximum output power density of 14.3 mW m-2 K-2 and an energy density of 4.5 J m-2 K-2. In addition, an ultrahigh maximum output power density of 4.13 mW m-2 K-2 was obtained in the CHEG device that was assembled by connecting four thermocells in series, which could realize electrocatalytic degradation of rhodamine B. This work demonstrates a feasible way to design high-performance ionic thermoelectric gels and provides a new application in water pollution treatments.",e8967d1d4b4dc01caf83b9f58e503582d679aae2b97d73c65c1df94616dbd21a,cleaned_ite_tg/data/tg_clean.csv,4,iTE1_0013; TG_0145,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 多阳离子—阴离子相互作用不能直接等同 iTE 样本中的阴离子主导 multi-ion coupling。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
P0159,TG,Phase-Transitional Ionic Thermocells for the Enhanced Thermoelectric Efficiency,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.5c04042,2025,iTE|TG,extracted_core_claim,True,444,3,2,TG:P0159:claim_block,"With advancement in soft and wearable electronics, the demand for efficient and adaptable power sources has increased significantly. Ionic thermoelectrics, which converts wasted low-grade heat (<100 degrees C) into electrical energy, is a promising alternative due to its low cost, eco-friendliness, and conformability. To achieve practical implementation of ionic thermocells, innovative strategies that enhance voltage and power generation must be developed. Here, we present an ionic thermogalvanic cell using an ionic liquid, 1-allyl-3-methylimidazolium chloride. The ionic liquid undergoes a phase transition from solid to liquid in cold and hot regions, significantly improving performance without requiring additional components or complex processing. Compared to a homogeneous liquid-state cell, the phase-transitional system exhibits a 2.2-fold increase in the Seebeck coefficient (from 1.79 to 3.89 mV/K), a 3.66-fold enhancement in the power output (from 4.3 to 15.9 nW), and 3.47-fold improvement in the figure of merit (from 0.15 to 0.52) under the same temperature difference of 20 degrees C. Furthermore, the improvement was consistently observed across various electrolytes that undergo phase transitions, confirming the broad applicability of this strategy. This approach provides valuable direction into the advancement of ionic thermoelectric cells for efficient energy harvesting from low-grade heat, paving the way for practical and scalable applications in sustainable energy technologies.",1d7f84a32dd107505544d941fce04f9be93d7dd40e9cf99f19bfef8f34ea5779,cleaned_ite_tg/data/tg_clean.csv,12,iTE1_0120; TG_0158,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 固液相变可以有 phase transition 上位概念，但不等于水凝胶体积相变，不补熵差。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
P0163,TG,A novel concentrated photovoltaic and ionic thermocells hybrid system for full-spectrum solar cascade utilization,APPLIED ENERGY,10.1016/j.apenergy.2024.123033,2024,iTE|TG,extracted_core_claim,True,482,3,2,TG:P0163:claim_block,"Concentrated photovoltaic-thermoelectric generator (CPV-TEG) hybrid system can harvest the low-grade waste heat derived from photovoltaic cells to generate more electric energy. However, it is economically unfeasible due to the expensive cost of thermoelectric generators and higher photovoltaics temperature. Ionic thermocell based on thermogalvanic effect has a more inexpensive cost and ionic Seebeck coefficient of 1- 2 orders of magnitude higher than thermoelectric generators, which is promising for full-spectrum solar cascade utilization. In present work, a novel concentrated photovoltaic and ionic thermocells hybrid system (CPV-iTEC) is reported, aiming to comprehensively evaluate its feasibility. The ionic thermocell adhered directly to the photovoltaic panel consists the pi-type multi-channels, electrodes and p/n-type redox electrolytes flowing in multi-channels, which can simultaneously cool photovoltaic panel and output electric energy for waste heat harvesting. A threedimensional numerical model is proposed and validated by preliminary experiment to investigate the effects of structural and operating parameters on the performance of CPV-iTEC during energy, exergy and economic analyses. Results show that the optimal structural parameters of ionic thermocell are the 2 mm channel height and 1 mm width, showing a 7.18% higher energy efficiency than that of CPV-TEG at 10 concentration ratios. The presence of ionic thermocell can significantly decrease the photovoltaic panel temperature from 351.30 K to 325.14 K, and thus broaden the available concentration ratio from 1- 21 to 1- 39 compared with CPV-TEG, reaching a higher output power of 16.61 W. During the optimization of advanced redox electrolytes/electrodes, the energy efficiency can reach 49.63% at 21 concentration ratios, which is 5.06% higher than that of CPV-TEG, and show a 22.65% lower overall cost. The application of ionic thermocell in the full-spectrum solar cascade utilization of concentrated photovoltaic system is proved to be feasible with significant advantages of low cost, high performance, and flexible operation.",0d209968f701a1fb3598977c8b2ccd9d33c8e7b46cf430fb986380e3ac323ff1,cleaned_ite_tg/data/tg_clean.csv,15,iTE1_0221; TG_0162,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 器件结构／流动层面的机制，不从背景推断溶剂化细节；其定量性能涉及数值模型。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
P0174,TG,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,10.1016/j.icheatmasstransfer.2026.111281,2026,iTE|TG,extracted_core_claim,True,562,3,1,TG:P0174:claim_block,"Nanoconfinement of liquid electrolytes has been shown to exhibit an enhanced ionic Seebeck coefficient compared with bulk systems. However, experimental understanding of the underlying mechanisms remains limited, particularly for electrolytes confined within sub-nanometer nanochannels reconstructed from twodimensional (2D) layered materials. In this study, we experimentally and numerically investigate the thermoelectric response of both monovalent and multivalent liquid electrolytes in graphene oxide (GO) nanochannel membranes, using KCl as a representative system, to elucidate the governing mechanisms. An ionic Seebeck coefficient exceeding -1.2 mV/K is achieved in GO nanochannels integrated with Ag/AgCl electrodes. By isolating the thermogalvanic contribution of the electrodes, the results reveal that the observed ionic Seebeck coefficient of GO nanochannels is governed by a competition between Soret-type ion thermodiffusion and ion diffusion driven by temperature-dependent ion electrophoretic mobility (TDIEM). In the low-concentration regime, where the electrical double layer (EDL) overlap becomes significant, the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient. Continuum-based numerical simulations show qualitative agreement with experimental trends. The ionic Seebeck coefficient increases with decreasing electrolyte concentration and increasing temperature difference, accompanied by enhanced surface charge density, and reaches a maximum value of -0.400 +/- 0.038 mV/K at a KCl concentration of 0.1 mM under a temperature difference of 24 K. Moreover, monovalent electrolytes exhibit higher ionic Seebeck coefficients than multivalent electrolytes due to their higher cation mobility and lower ionic heat of transport. These findings provide new insights into nanoconfinement-enhanced ionic thermoelectricity and support the development of nanofluidic-based thermoelectric generators for low-grade heat recovery.",343be30e0dd584022fd6c72cb023e1e940c0d34466190a444c738eec0ec88938,cleaned_ite_tg/data/tg_clean.csv,21,iTE1_0267; TG_0173,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 上文定义 TDIEM 为温度依赖电泳迁移率驱动扩散；不与 Soret 热扩散合并。EDL 显著重叠是条件，未强加因果边。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
P0175,TG,Thermal potential induced redox reaction enabled ionic thermoelectric generator,NANO ENERGY,10.1016/j.nanoen.2025.111648,2026,iTE|TG,extracted_core_claim,True,398,3,2,TG:P0175:claim_block,"We report an ionic thermoelectric generator (iTEG) capable of delivering continuous power and large thermal voltages under a temperature gradient. Unlike conventional thermogalvanic cells, the current in our system arises from a reversible redox reaction driven by ionic thermodiffusion-induced thermal potentials. By systematically studying electrolytes with varying thermoelectric properties, we identified that self-assembled polyethylene glycol (PEG) clusters, stabilized by alkoxide end groups, are key to enable the output current. The iTEG achieved a maximum power density of 4.2 mW m-2 with an output voltage of 100 mV under a 20 K temperature difference. These findings establish a new design principle for ionic thermoelectric devices and provide insights into charge transfer process and redox reactions at electrode interfaces, with implications for energy technologies such as ion batteries and related electrochemical systems.",dd18529211b4dfc50540817c0c3f4d572231e1dddf5d308337966feacb16473c,cleaned_ite_tg/data/tg_clean.csv,8,iTE1_0038; TG_0174,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留驱动方向：热扩散电势驱动氧化还原，不倒置成反应熵产生全部电势。",txt_reconstruction_v1_19f1c2edac18,existing_focal_claim_pilot_not_random
